X Y
NaN NaN
167.092893186801 -46.1821638374562
167.09255275819 -46.1812447189161
167.092397015361 -46.1785308080065
167.091302471418 -46.1744120472464
167.089748764655 -46.1726785488965
167.089748765785 -46.1726785378837
167.089825203366 -46.1719336932585
167.091039407166 -46.1706372856713
167.092331319281 -46.1685961640418
167.092547352515 -46.1665007675632
167.090222020226 -46.1619590433636
167.090602746696 -46.1602241050437
167.090384641853 -46.1586380147378
167.091297759637 -46.1575618817844
167.09357397712 -46.1564722773411
167.0942006483 -46.1550566289071
167.095587921812 -46.1537142463033
167.096646989573 -46.1521689828354
167.101908727434 -46.1490666391203
167.102983014022 -46.1487959088169
167.103907996853 -46.1485628056854
167.106186137632 -46.147473140955
167.106692657842 -46.1467453978084
167.105573962468 -46.1449825979713
167.105610243694 -46.1440396299678
167.106828591182 -46.1432930076687
167.108338427473 -46.1427410042858
167.109743407535 -46.1411039800411
167.111176480591 -46.1404132361028
167.113273412067 -46.1371471655528
167.115498228707 -46.1351025156728
167.116605362253 -46.1320102534091
167.116696495264 -46.1299453567703
167.116001179962 -46.1279747511778
167.115800009563 -46.1231952253919
167.116558196846 -46.1221545418402
167.116900780293 -46.1209280442965
167.113920821599 -46.119588761932
167.113192126502 -46.1179313315735
167.113311851028 -46.1136804981447
167.111960169415 -46.1112988328414
167.112277646843 -46.1089650125873
167.11116871442 -46.1071052982863
167.108001244797 -46.1042399818036
167.107188776109 -46.1026835706257
167.108337003837 -46.1009464326384
167.106521022788 -46.0996553623371
167.106567608415 -46.0992066808612
167.109211215934 -46.0987352898587
167.109256504831 -46.0982865403093
167.105596960283 -46.0959961995959
167.103506190177 -46.0952911750422
167.100861480023 -46.0936561386513
167.099707855997 -46.0922449967882
167.09853632416 -46.0888755423259
167.096633931528 -46.0850568760951
167.096384220538 -46.0845545088021
167.095635141226 -46.0814417346079
167.096302763937 -46.0796341715147
167.095468883214 -46.0770888761474
167.094491751953 -46.075883393977
167.093528745337 -46.0752835424037
167.093259276078 -46.0733724052655
167.091629014003 -46.0719955898537
167.090557540028 -46.0705652127672
167.090940896874 -46.0695678045723
167.089458909175 -46.0664388309829
167.089233032427 -46.0648598951182
167.088166437472 -46.0630173563812
